t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
175.344,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.394,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.444,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.498,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.538,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.592,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.64,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.692,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.734,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.776,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.838,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.888,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.928,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.976,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.03,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.078,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.12,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.172,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.222,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.274,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.32,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.366,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.428,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.48,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.524,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.57,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.628,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.678,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.726,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.766,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.828,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.88,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.932,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.932,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
176.986,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.03,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.084,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.136,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.188,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.232,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.292,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.344,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.394,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.446,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.494,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.548,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.6,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.648,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.698,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.746,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.798,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.844,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.888,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.944,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
177.996,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.026,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.088,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.136,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.186,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.24,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.292,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.342,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.392,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.444,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.484,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.546,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.596,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.598,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.638,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.682,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.744,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.794,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.83,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.876,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.932,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
178.986,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.024,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
