t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
31.9,-2.2064,2.5027,2.5619,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,77,0.0,35.6
32.0,-2.2064,2.5026,2.5652,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.1,-2.2064,2.5026,2.5653,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.2,-2.2064,2.5026,2.5654,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.3,-2.2064,2.5026,2.5655,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.4,-2.2064,2.5026,2.5657,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.5,-2.2064,2.5026,2.5658,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.6,-2.2064,2.5026,2.5663,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.7,-2.2064,2.5026,2.5669,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.8,-2.2064,2.5025,2.5674,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
32.9,-2.2064,2.5025,2.5682,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
33.0,-2.2064,2.5025,2.5687,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,78,0.0,35.6
33.1,-2.2064,2.5025,2.5692,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,80,0.0,35.6
33.2,-2.2064,2.5025,2.5697,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.565,819,81,0.0,35.6
33.3,-2.2064,2.5025,2.5704,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,81,0.0,35.6
33.4,-2.2064,2.5025,2.571,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,81,0.0,35.6
33.5,-2.2064,2.5024,2.5716,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,81,0.0,35.6
