t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
20.4,-2.0073,-2.8618,-2.1213,-0.0006,0.0412,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
20.5,-2.0071,-2.8618,-2.1171,-0.0006,0.0413,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,124,0.0,6.6
20.6,-2.007,-2.8618,-2.1133,-0.0004,0.0261,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,123,0.0,6.6
20.7,-2.007,-2.8618,-2.1127,-0.0001,0.0059,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,122,0.0,5.2
20.8,-2.007,-2.8618,-2.1122,-0.0001,0.0059,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,509,0.0,5.2
20.9,-2.0071,-2.8618,-2.1164,0.0008,-0.0532,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,6.6
21.0,-2.0072,-2.8618,-2.1184,-0.0006,0.0413,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,511,0.0,6.6
21.1,-2.0071,-2.8618,-2.1167,-0.0006,0.0414,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,6.6
21.2,-2.007,-2.8618,-2.1141,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
21.3,-2.007,-2.8618,-2.114,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
21.4,-2.007,-2.8618,-2.1128,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
21.5,-2.007,-2.8618,-2.1123,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
21.6,-2.007,-2.8618,-2.1122,-0.0001,0.0059,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,123,0.0,6.6
