t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
130.119,223.9,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.219,224.0,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.323,224.1,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.424,224.2,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.53,224.3,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.643,224.4,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.729,224.5,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.846,224.6,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.931,224.7,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
131.059,224.8,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
131.152,224.9,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
