t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
125.22,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
125.234,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
125.294,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
125.326,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16,,
125.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
125.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
125.416,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
125.494,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
125.526,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
125.532,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
125.594,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
125.626,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
125.634,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
125.694,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
125.726,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
125.734,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
125.792,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
125.814,0.0,0.16,0.0,1.0,0.0,0.16,0.0,0.16,,
125.816,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
125.874,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
125.914,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
125.932,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
125.97,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
126.0,0.0,0.32,0.0,1.0,0.0,0.32,0.0,0.32,,
126.0,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
126.07,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
126.104,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.48,,
126.11,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
126.168,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
126.2,0.0,1.0,0.0,0.48,0.0,0.48,0.0,0.48,,
126.2,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
126.246,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
126.288,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
126.292,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.48,,
126.348,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.39,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
126.4,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.45,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.484,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
126.498,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.55,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.582,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
126.588,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
